iter	RMSE
0	62687.70253
1	56282.48634
2	51048.24633
3	46939.168
4	43247.63857
5	39826.6828
6	36930.81568
7	34508.111
8	32571.83932
9	30930.63928
10	29623.88605
11	27944.04701
12	26603.67846
13	25737.21721
14	24920.93302
15	24150.29594
16	23442.86253
17	22988.13343
18	22521.8638
19	22151.161
20	21827.72143
21	21574.75868
22	21039.61089
23	20768.65766
24	20483.73658
25	20101.54753
26	19783.30163
27	19447.64877
28	19260.87058
29	19059.66723
30	18880.47844
31	18647.3737
32	18478.83651
33	18361.21781
34	18176.84166
35	18044.13621
36	17872.93211
37	17740.4194
38	17592.9015
39	17481.8906
40	17335.10662
41	17222.32868
42	17138.06324
43	17072.09585
44	16971.72478
45	16845.06911
46	16714.00164
47	16587.4054
48	16479.28881
49	16377.69755
50	16318.43717
51	16246.4384
52	16163.51818
53	16064.74712
54	15997.36809
55	15907.00407
56	15830.85352
57	15719.95298
58	15650.34347
59	15600.20959
60	15542.13657
61	15496.15789
62	15404.36343
63	15313.82844
64	15270.70836
65	15199.94935
66	15134.50642
67	15088.04767
68	15041.92793
69	15010.13547
70	14978.36019
71	14934.32151
72	14838.05532
73	14793.69777
74	14741.57329
75	14682.74663
76	14647.83424
77	14568.64353
78	14526.09705
79	14463.22678
80	14421.61908
81	14363.30706
82	14311.36613
83	14260.06422
84	14235.34921
85	14174.216
86	14133.4859
87	14068.79055
88	14037.42153
89	14013.1083
90	13956.5028
91	13922.16953
92	13881.38102
93	13859.33874
94	13839.60879
95	13794.13927
96	13762.4099
97	13729.69613
98	13684.21132
99	13636.35793
100	13611.19181
101	13558.58707
102	13526.05418
103	13490.37116
104	13448.01314
105	13405.76302
106	13383.44913
107	13366.90233
108	13329.87193
109	13294.11861
110	13256.17281
111	13231.36187
112	13214.97922
113	13183.97586
114	13141.58208
115	13106.5364
116	13087.44958
117	13031.56304
118	12992.90951
119	12948.66727
120	12930.71139
121	12913.12867
122	12877.10614
123	12859.73222
124	12812.06865
125	12796.62286
126	12761.7474
127	12736.04086
128	12696.39622
129	12675.0406
130	12661.9664
131	12633.01444
132	12617.31362
133	12598.23404
134	12538.06264
135	12500.30507
136	12469.66993
137	12452.5546
138	12435.06946
139	12408.0368
140	12371.4951
141	12343.59088
142	12308.61407
143	12287.32271
144	12268.75514
145	12246.27945
146	12218.3821
147	12170.25459
148	12145.56543
149	12130.88014
150	12114.15814
151	12101.71242
152	12074.49826
153	12043.86047
154	11996.36361
155	11983.20471
156	11958.25744
157	11942.45401
158	11916.18521
159	11889.70351
160	11854.8235
161	11827.003
162	11797.77907
163	11748.80391
164	11727.74522
165	11707.96008
166	11690.67437
167	11683.85924
168	11641.78055
169	11615.11781
170	11579.4941
171	11569.32054
172	11556.39662
173	11534.61586
174	11519.22705
175	11496.35484
176	11479.22252
177	11466.90815
178	11456.22076
179	11435.669
180	11414.08109
181	11387.58503
182	11363.36994
183	11353.55734
184	11331.40007
185	11313.62326
186	11290.99919
187	11263.71358
188	11243.99567
189	11225.57533
190	11211.95291
191	11203.20913
192	11178.9088
193	11147.39588
194	11129.29473
195	11114.81822
196	11105.19854
197	11089.51896
198	11081.4222
199	11066.98427
200	11053.20964
201	11023.05355
202	11007.44809
203	10989.70962
204	10975.04743
205	10965.8818
206	10950.47758
207	10918.01895
208	10903.2557
209	10879.55238
210	10861.16643
211	10828.06928
212	10794.26642
213	10765.5081
214	10734.51255
215	10718.30981
216	10711.88365
217	10693.27175
218	10675.79275
219	10661.61402
220	10652.70481
221	10643.11669
222	10621.79769
223	10604.74675
224	10587.07871
225	10558.71156
226	10553.33803
227	10545.93413
228	10532.2782
229	10521.41167
230	10504.03077
231	10487.46051
232	10477.08241
233	10460.60597
234	10438.52232
235	10423.94908
236	10400.96676
237	10395.97795
238	10387.63558
239	10375.24237
240	10366.27176
241	10347.56377
242	10334.4164
243	10324.66358
244	10296.11597
245	10276.49567
246	10264.30895
247	10234.01236
248	10226.27999
249	10214.04094
250	10205.77386
251	10189.46587
252	10164.48698
253	10154.08709
254	10141.1965
255	10131.20101
256	10115.80376
257	10096.37889
258	10084.49133
259	10081.22665
260	10065.07783
261	10050.22965
262	10036.4354
263	10023.69745
264	10018.65208
265	10001.88463
266	9990.883439
267	9986.165309
268	9979.135511
269	9971.800939
270	9966.419614
271	9946.891838
272	9934.759018
273	9921.984691
274	9915.742967
275	9898.924454
276	9888.378341
277	9868.857263
278	9854.984503
279	9837.933296
280	9819.588136
281	9807.591491
282	9796.400592
283	9787.763383
284	9779.572988
285	9768.566145
286	9759.959049
287	9749.509957
288	9734.244104
289	9722.310531
290	9710.982838
291	9695.549809
292	9671.505129
293	9650.969295
294	9636.210716
295	9631.051605
296	9625.064863
297	9617.706797
298	9611.873781
299	9599.497142
300	9579.627843
301	9560.601724
302	9544.343327
303	9528.777507
304	9518.882978
305	9503.807388
306	9497.522103
307	9484.931216
308	9472.026637
309	9457.815427
310	9444.357862
311	9438.255843
312	9421.366852
313	9406.516262
314	9401.506936
315	9394.397345
316	9380.710387
317	9366.55054
318	9361.143274
319	9339.514601
320	9325.683108
321	9309.539703
322	9299.823326
323	9286.139924
324	9256.836001
325	9251.155196
326	9243.369792
327	9235.308753
328	9225.67927
329	9223.116681
330	9217.708229
331	9206.121931
332	9197.171231
333	9184.524343
334	9173.502387
335	9168.130969
336	9157.393842
337	9151.908994
338	9145.132329
339	9128.652628
340	9119.691534
341	9109.119039
342	9087.352311
