PID,GrLivArea,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,Fence,MoSold,YrSold,SaleType,SaleCondition,TotalHouseSF,TotalBathroomCount,QualityOutdoorSF,YearAndRemodAvg,NonHouseSF,HighQualFinSF,HouseLotRatio,FrontageLotRatio,QualityOutdoorLotRatio
909176150,856,126000,30,RL,60.0,7890,Pave,NoAlley,Reg,Lvl,AllPub,Corner,Gtl,SWISU,Norm,Norm,1Fam,1Story,6,6,1939,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,238.0,Unf,0.0,618.0,856.0,GasA,TA,Y,SBrkr,856,0,0,1.0,0.0,1,0,2,1,TA,4,Typ,1,Gd,Detchd,1939.0,Unf,2.0,399.0,TA,TA,Y,0,0,0,0,166,NoFence,3,2010,WD ,Normal,1712.0,2.0,166,1944.5,-6178.0,1712.0,21.698352344740176,0.7604562737642585,2.1039290240811153
905476230,1049,139500,120,RL,42.0,4235,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,1Story,5,5,1984,1984,Gable,CompShg,HdBoard,HdBoard,BrkFace,149.0,Gd,TA,CBlock,Gd,TA,Mn,GLQ,552.0,ALQ,393.0,104.0,1049.0,GasA,TA,Y,SBrkr,1049,0,0,1.0,0.0,2,0,2,1,Gd,5,Typ,0,NoFireplace,Attchd,1984.0,Fin,1.0,266.0,TA,TA,Y,0,105,0,0,0,NoFence,2,2009,WD ,Normal,2098.0,3.0,105,1984.0,-2137.0,2098.0,49.539551357733174,0.9917355371900827,2.479338842975207
911128020,1001,124900,30,C (all),60.0,6060,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,5,9,1930,2007,Hip,CompShg,MetalSd,MetalSd,None,0.0,Gd,TA,BrkTil,TA,TA,No,ALQ,737.0,Unf,0.0,100.0,837.0,GasA,Ex,Y,SBrkr,1001,0,0,0.0,0.0,1,0,2,1,Gd,5,Typ,0,NoFireplace,Detchd,1930.0,Unf,1.0,216.0,TA,Po,N,154,0,42,86,0,NoFence,11,2007,WD ,Normal,1838.0,1.0,282,1968.5,-4222.0,1838.0,30.33003300330033,0.9900990099009901,4.653465346534653
535377150,1039,114000,70,RL,80.0,8146,Pave,NoAlley,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,4,8,1900,2003,Gable,CompShg,MetalSd,MetalSd,None,0.0,Gd,Gd,BrkTil,Fa,TA,No,Unf,0.0,Unf,0.0,405.0,405.0,GasA,Gd,Y,SBrkr,717,322,0,0.0,0.0,1,0,2,1,TA,6,Typ,0,NoFireplace,Detchd,1940.0,Unf,1.0,281.0,TA,TA,N,0,0,168,0,111,NoFence,5,2009,WD ,Normal,1444.0,1.0,279,1951.5,-6702.0,1444.0,17.726491529585072,0.9820770930518046,3.4249938620181686
534177230,1665,227000,60,RL,70.0,8400,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,8,6,2001,2001,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,643.0,Unf,0.0,167.0,810.0,GasA,Ex,Y,SBrkr,810,855,0,1.0,0.0,2,1,3,1,Gd,6,Typ,0,NoFireplace,Attchd,2001.0,Fin,2.0,528.0,TA,TA,Y,0,45,0,0,0,NoFence,11,2009,WD ,Normal,2475.0,3.5,45,2001.0,-5925.0,2475.0,29.464285714285715,0.8333333333333334,0.5357142857142857
908128060,1922,198500,85,RL,64.0,7301,Pave,NoAlley,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,SFoyer,7,5,2003,2003,Gable,CompShg,HdBoard,HdBoard,BrkFace,500.0,Gd,TA,Slab,NoBsmt,NoBsmt,NoBsmt,NoBsmt,0.0,NoBsmt,0.0,0.0,0.0,GasA,Ex,Y,SBrkr,495,1427,0,0.0,0.0,3,0,4,1,Gd,7,Typ,1,Ex,BuiltIn,2003.0,RFn,2.0,672.0,TA,TA,Y,0,0,177,0,0,NoFence,7,2009,ConLD,Normal,1922.0,3.0,177,2003.0,-5379.0,1922.0,26.325160936857966,0.8765922476373099,2.4243254348719354
902135020,936,93000,20,RM,60.0,6000,Pave,Pave,Reg,Bnk,AllPub,Inside,Mod,OldTown,Norm,Norm,2fmCon,1Story,4,4,1953,1953,Gable,CompShg,MetalSd,MetalSd,None,0.0,Fa,TA,CBlock,Fa,TA,No,Unf,0.0,Unf,0.0,936.0,936.0,GasA,TA,N,SBrkr,936,0,0,0.0,0.0,1,0,2,1,TA,4,Min2,0,NoFireplace,Detchd,1974.0,Unf,2.0,576.0,TA,TA,Y,0,32,112,0,0,NoFence,2,2009,WD ,Normal,1872.0,1.0,144,1953.0,-4128.0,1872.0,31.2,1.0,2.4
528228540,1246,187687,20,RL,53.0,3710,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,1Fam,1Story,7,5,2007,2008,Gable,CompShg,WdShing,Wd Shng,BrkFace,20.0,Gd,TA,PConc,Gd,TA,Gd,Unf,0.0,Unf,0.0,1146.0,1146.0,GasA,Ex,Y,SBrkr,1246,0,0,0.0,0.0,2,0,2,1,Gd,5,Typ,1,Gd,Attchd,2007.0,Fin,2.0,428.0,TA,TA,Y,100,24,0,0,0,NoFence,3,2008,New,Partial,2392.0,2.0,124,2007.5,-1318.0,2392.0,64.4743935309973,1.4285714285714286,3.3423180592991915
923426010,889,137500,20,RL,74.0,12395,Pave,NoAlley,Reg,Lvl,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,6,1984,1984,Gable,CompShg,HdBoard,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,647.0,Unf,0.0,217.0,864.0,GasA,TA,Y,SBrkr,889,0,0,0.0,0.0,1,0,3,1,TA,6,Typ,0,NoFireplace,Attchd,1984.0,Unf,2.0,484.0,TA,TA,Y,0,0,0,0,0,NoFence,4,2008,WD ,Normal,1753.0,1.0,0,1984.0,-10642.0,1753.0,14.142799515933843,0.5970149253731344,0.0
908186050,1072,140000,180,RM,35.0,3675,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,Stone,76.0,TA,TA,PConc,Gd,TA,Gd,GLQ,467.0,Unf,0.0,80.0,547.0,GasA,Ex,Y,SBrkr,1072,0,0,1.0,0.0,1,0,2,1,Gd,5,Typ,0,NoFireplace,Basment,2005.0,Fin,2.0,525.0,TA,TA,Y,0,44,0,0,0,NoFence,5,2007,WD ,Normal,1619.0,2.0,44,2005.0,-2056.0,1619.0,44.054421768707485,0.9523809523809524,1.1972789115646258
