GrLivArea,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,Fence,MoSold,YrSold,SaleType,SaleCondition,TotalHouseSF,TotalBathroomCount,QualityOutdoorSF,YearAndRemodAvg,NonHouseSF,HighQualFinSF,HouseLotRatio,FrontageLotRatio,QualityOutdoorLotRatio
856,126000,30,5,60.0,7890,1,1,3,3,0,0,0,19,2,2,0,2,6,6,1939,1950,1,0,13,14,2,0.0,3,3,1,4,4,2,3,238.0,1,0.0,618.0,856.0,1,3,1,3,856,0,0,1.0,0.0,1,0,2,1,3,4,6,1,5,5,1939.0,1,2.0,399.0,4,4,2,0,0,0,0,166,1,3,2010,9,4,1712.0,2.0,166,1944.5,-6178.0,1712.0,21.698352344740176,0.7604562737642585,2.1039290240811153
1049,139500,120,5,42.0,4235,1,1,3,3,0,4,0,7,2,2,4,2,5,5,1984,1984,1,0,6,6,1,149.0,4,3,1,5,4,3,3,552.0,2,393.0,104.0,1049.0,1,3,1,3,1049,0,0,1.0,0.0,2,0,2,1,4,5,6,0,1,1,1984.0,3,1.0,266.0,4,4,2,0,105,0,0,0,1,2,2009,9,4,2098.0,3.0,105,1984.0,-2137.0,2098.0,49.539551357733174,0.9917355371900827,2.479338842975207
1001,124900,30,1,60.0,6060,1,1,3,3,0,4,0,10,2,2,0,2,5,9,1930,2007,3,0,8,8,2,0.0,4,3,0,4,4,2,2,737.0,1,0.0,100.0,837.0,1,5,1,3,1001,0,0,0.0,0.0,1,0,2,1,4,5,6,0,1,5,1930.0,1,1.0,216.0,4,2,0,154,0,42,86,0,1,11,2007,9,4,1838.0,1.0,282,1968.5,-4222.0,1838.0,30.33003300330033,0.9900990099009901,4.653465346534653
1039,114000,70,5,80.0,8146,1,1,3,3,0,0,0,18,2,2,0,5,4,8,1900,2003,1,0,8,8,2,0.0,4,4,0,3,4,2,1,0.0,1,0.0,405.0,405.0,1,4,1,3,717,322,0,0.0,0.0,1,0,2,1,3,6,6,0,1,5,1940.0,1,1.0,281.0,4,4,0,0,0,168,0,111,1,5,2009,9,4,1444.0,1.0,279,1951.5,-6702.0,1444.0,17.726491529585072,0.9820770930518046,3.4249938620181686
1665,227000,60,5,70.0,8400,1,1,3,3,0,4,0,15,2,2,0,5,8,6,2001,2001,1,0,12,13,2,0.0,4,3,2,5,4,2,3,643.0,1,0.0,167.0,810.0,1,5,1,3,810,855,0,1.0,0.0,2,1,3,1,4,6,6,0,1,1,2001.0,3,2.0,528.0,4,4,2,0,45,0,0,0,1,11,2009,9,4,2475.0,3.5,45,2001.0,-5925.0,2475.0,29.464285714285715,0.8333333333333334,0.5357142857142857
1922,198500,85,5,64.0,7301,1,1,3,3,0,0,0,7,2,2,0,6,7,5,2003,2003,1,0,6,6,1,500.0,4,3,3,1,1,1,0,0.0,0,0.0,0.0,0.0,1,5,1,3,495,1427,0,0.0,0.0,3,0,4,1,4,7,6,1,6,3,2003.0,2,2.0,672.0,4,4,2,0,0,177,0,0,1,7,2009,3,4,1922.0,3.0,177,2003.0,-5379.0,1922.0,26.325160936857966,0.8765922476373099,2.4243254348719354
936,93000,20,6,60.0,6000,1,2,3,0,0,4,1,18,2,2,1,2,4,4,1953,1953,1,0,8,8,2,0.0,2,3,1,3,4,2,1,0.0,1,0.0,936.0,936.0,1,3,0,3,936,0,0,0.0,0.0,1,0,2,1,3,4,3,0,1,5,1974.0,1,2.0,576.0,4,4,2,0,32,112,0,0,1,2,2009,9,4,1872.0,1.0,144,1953.0,-4128.0,1872.0,31.2,1.0,2.4
889,137500,20,5,74.0,12395,1,1,3,3,0,0,0,12,2,2,0,2,5,6,1984,1984,1,0,6,9,2,0.0,3,3,1,4,4,2,2,647.0,1,0.0,217.0,864.0,1,3,1,3,889,0,0,0.0,0.0,1,0,3,1,3,6,6,0,1,1,1984.0,1,2.0,484.0,4,4,2,0,0,0,0,0,1,4,2008,9,4,1753.0,1.0,0,1984.0,-10642.0,1753.0,14.142799515933843,0.5970149253731344,0.0
1072,140000,180,6,35.0,3675,1,1,3,3,0,4,0,7,2,2,4,6,6,5,2005,2005,1,0,12,13,3,76.0,3,3,2,5,4,5,3,467.0,1,0.0,80.0,547.0,1,5,1,3,1072,0,0,1.0,0.0,1,0,2,1,4,5,6,0,1,2,2005.0,3,2.0,525.0,4,4,2,0,44,0,0,0,1,5,2007,9,4,1619.0,2.0,44,2005.0,-2056.0,1619.0,44.054421768707485,0.9523809523809524,1.1972789115646258
1342,219500,120,5,48.0,6240,1,1,3,3,0,4,0,17,2,2,4,2,8,5,2006,2007,3,0,8,8,1,196.0,4,3,2,5,4,2,3,24.0,1,0.0,1318.0,1342.0,1,5,1,3,1342,0,0,0.0,0.0,2,0,2,1,4,6,6,1,5,1,2007.0,2,2.0,550.0,4,4,2,0,35,0,0,0,1,2,2008,9,4,2684.0,2.0,35,2006.5,-3556.0,2684.0,43.01282051282052,0.7692307692307693,0.5608974358974359
