iter	RMSE
0	70240.48414
1	65440.45098
2	61408.89265
3	57406.34272
4	53732.74565
5	50681.63751
6	47650.05757
7	45167.09683
8	42828.83025
9	40800.45256
10	38913.98459
11	37045.1539
12	35319.94093
13	34026.30603
14	32663.4789
15	31573.16383
16	30541.40592
17	29596.97041
18	28767.41468
19	27876.57154
20	27052.59794
21	26444.87921
22	25795.62022
23	25187.72692
24	24642.32556
25	24200.33191
26	23817.97245
27	23456.86209
28	23083.635
29	22657.98934
30	22369.5119
31	22092.81855
32	21773.77433
33	21536.74152
34	21284.65904
35	21072.40175
36	20879.61107
37	20644.8048
38	20479.04699
39	20322.69803
40	20178.78387
41	19979.87074
42	19820.29001
43	19662.6048
44	19522.46746
45	19369.42462
46	19185.72895
47	19010.16136
48	18918.48433
49	18805.02446
50	18696.1005
51	18591.31599
52	18512.01786
53	18412.67112
54	18258.33641
55	18193.58657
56	18051.01001
57	17932.52218
58	17798.86951
59	17700.95078
60	17622.40117
61	17550.35951
62	17440.19072
63	17353.08304
64	17266.40057
65	17194.83372
66	17128.79132
67	17048.68903
68	16961.99007
69	16872.85
70	16811.8925
71	16729.78739
72	16648.32154
73	16586.39585
74	16539.95404
75	16476.84893
76	16428.4414
77	16343.98343
78	16253.37283
79	16176.91787
80	16105.4024
81	16061.8529
82	15997.14148
83	15961.02762
84	15931.58093
85	15875.12096
86	15826.40273
87	15774.06492
88	15727.47468
89	15657.01829
90	15582.82074
91	15561.30437
92	15523.74387
93	15444.39916
94	15426.34494
95	15369.76268
96	15324.20846
97	15258.70762
98	15212.15593
99	15194.74334
100	15132.40029
101	15072.23415
102	15018.78601
103	14937.77542
104	14868.88106
105	14828.08538
106	14771.71586
107	14721.90773
108	14658.2925
109	14603.6784
110	14575.36869
111	14520.86433
112	14480.07131
113	14433.17496
114	14396.54081
115	14363.74499
116	14323.03793
117	14302.8843
118	14260.86628
119	14206.1672
120	14151.04454
121	14085.908
122	14040.67381
123	13996.38348
124	13970.69759
125	13947.70084
126	13906.98255
127	13855.77141
128	13814.74297
129	13773.41159
130	13713.23511
131	13680.57115
132	13640.33462
133	13598.34711
134	13562.62934
135	13556.65751
136	13511.19826
137	13464.33948
138	13453.43944
139	13401.65092
140	13368.63317
141	13323.67283
142	13284.7087
143	13254.02336
144	13241.28306
145	13201.73728
146	13168.43643
147	13130.6077
148	13119.33424
149	13103.06171
150	13052.27025
151	13031.32474
152	12987.10515
153	12947.52382
154	12925.30669
155	12907.38492
156	12869.26145
157	12824.75941
158	12794.33496
159	12769.60429
160	12733.65677
161	12724.109
162	12701.9245
163	12675.0396
164	12664.91369
165	12632.29428
166	12578.06786
167	12562.76603
168	12515.66563
169	12485.2829
170	12453.5001
171	12429.73794
172	12393.3988
173	12356.27427
174	12318.17181
175	12295.65096
176	12292.36022
177	12264.22309
178	12221.04952
179	12171.12806
180	12154.20919
181	12132.38541
182	12095.48962
183	12052.19302
184	12039.96695
185	12006.29905
186	11981.92211
187	11960.78434
188	11922.5233
189	11887.05658
190	11860.99799
191	11835.72254
192	11797.13489
193	11776.64002
194	11763.49977
195	11731.95172
196	11699.30619
197	11680.97433
198	11661.44477
199	11646.96483
200	11624.81716
201	11576.03311
202	11551.86921
203	11534.55174
204	11510.22924
205	11488.55952
206	11474.07982
207	11453.83914
208	11422.12081
209	11410.31313
210	11399.56347
211	11367.77377
212	11347.46733
213	11325.03036
214	11294.77536
215	11261.17411
216	11247.24738
217	11220.68085
218	11188.62915
219	11169.53398
220	11149.43616
221	11131.59809
222	11100.27849
223	11070.90316
224	11051.52518
225	11020.54781
226	11007.4686
227	10988.8992
228	10965.44977
229	10934.84979
230	10888.97039
231	10864.66651
232	10850.16237
233	10819.6251
234	10791.43437
235	10762.2984
236	10732.93172
237	10713.58485
238	10691.34817
239	10672.51665
240	10665.7123
241	10635.56459
242	10612.84364
243	10583.58432
244	10559.83309
245	10544.78524
246	10537.24503
247	10509.44587
248	10494.52537
249	10467.33784
250	10442.33363
251	10418.92709
252	10393.76877
253	10377.63347
254	10364.61019
255	10344.47132
256	10334.99411
257	10313.54519
258	10305.01028
259	10276.88076
260	10268.70436
261	10244.67901
262	10216.62824
263	10190.97762
264	10167.70507
265	10140.19364
266	10118.40609
267	10097.59916
268	10073.25723
269	10056.47862
270	10036.40226
271	10015.36771
272	9990.836852
273	9953.405749
274	9935.007596
275	9927.377432
276	9909.03547
277	9903.985737
278	9889.455378
279	9866.923654
280	9836.023005
281	9820.522202
282	9804.898107
283	9784.156525
284	9767.131894
285	9747.886833
286	9734.487009
287	9713.051176
288	9708.353715
289	9678.362388
290	9668.017852
291	9646.605655
292	9617.868074
293	9597.793584
294	9584.945374
295	9572.661351
296	9557.899589
297	9544.699329
298	9534.097986
299	9513.203371
300	9489.308961
301	9470.205206
302	9450.857306
303	9432.339529
304	9410.445725
305	9395.811117
306	9371.89019
307	9352.083133
308	9326.387602
309	9301.181421
310	9275.827631
311	9263.90416
312	9250.873571
313	9226.54468
314	9199.258771
315	9184.257523
316	9168.350133
317	9149.293397
318	9133.453109
319	9111.586448
320	9091.521693
321	9080.197221
322	9070.796703
323	9052.31764
324	9033.496386
325	9016.487555
326	8999.866976
327	8985.497616
328	8970.06269
329	8961.205863
330	8948.915457
331	8937.135851
332	8929.425706
333	8905.845379
334	8886.482413
335	8869.984186
336	8864.488614
337	8852.005543
338	8833.296527
339	8815.222127
340	8802.92897
341	8782.099425
342	8775.948562
343	8774.428609
344	8754.939116
345	8732.280323
346	8717.662324
347	8708.177626
348	8687.488971
349	8677.218471
350	8663.248375
351	8648.240578
352	8633.758598
353	8619.254197
354	8596.944527
355	8586.521032
356	8578.437054
357	8555.079703
358	8540.214102
359	8523.576563
360	8522.330016
361	8516.612821
362	8499.323792
363	8485.222874
364	8469.493019
365	8447.923816
366	8431.716229
367	8411.209868
368	8389.766898
369	8381.397175
370	8375.048748
371	8353.552253
372	8340.415874
373	8330.639761
374	8317.767467
375	8307.965912
376	8288.864899
377	8267.057321
378	8254.443571
379	8251.455983
380	8233.476459
381	8220.771569
382	8209.999608
