iter	Passed	Remaining
0	2	1115
1	4	952
2	6	874
3	16	1752
4	18	1589
5	21	1498
6	24	1497
7	30	1635
8	32	1555
9	35	1517
10	38	1493
11	51	1827
12	59	1938
13	72	2169
14	82	2310
15	87	2282
16	91	2232
17	94	2192
18	97	2121
19	99	2062
20	101	2005
21	104	1956
22	107	1918
23	111	1897
24	116	1907
25	130	2052
26	139	2100
27	141	2050
28	143	2000
29	145	1956
30	146	1907
31	148	1862
32	150	1829
33	152	1793
34	154	1756
35	156	1728
36	157	1694
37	159	1661
38	161	1633
39	162	1603
40	164	1576
41	166	1550
42	167	1524
43	169	1499
44	171	1480
45	174	1472
46	177	1461
47	180	1449
48	182	1436
49	186	1428
50	188	1412
51	189	1392
52	193	1390
53	211	1488
54	218	1503
55	220	1490
56	222	1473
57	225	1459
58	227	1443
59	229	1428
60	230	1411
61	232	1394
62	234	1381
63	236	1366
64	238	1353
65	240	1338
66	242	1327
67	243	1313
68	245	1300
69	247	1287
70	249	1274
71	251	1262
72	253	1251
73	255	1242
74	257	1230
75	258	1219
76	260	1209
77	262	1198
78	264	1186
79	265	1175
80	267	1165
81	269	1154
82	270	1145
83	273	1137
84	274	1127
85	276	1117
86	278	1109
87	279	1100
88	281	1092
89	283	1084
90	285	1076
91	287	1069
92	290	1063
93	292	1056
94	294	1050
95	325	1144
96	328	1140
97	330	1134
98	339	1150
99	342	1144
100	356	1174
101	359	1169
102	362	1164
103	366	1164
104	373	1169
105	377	1167
106	382	1170
107	386	1166
108	447	1332
109	454	1338
110	459	1336
111	463	1333
112	474	1346
113	477	1341
114	481	1336
115	485	1330
116	487	1320
117	488	1309
118	490	1299
119	493	1290
120	496	1283
121	498	1273
122	499	1263
123	501	1253
124	502	1243
125	504	1232
126	506	1224
127	508	1215
128	509	1205
129	511	1195
130	512	1186
131	514	1176
132	516	1169
133	518	1160
134	519	1151
135	521	1142
136	522	1133
137	524	1124
138	525	1116
139	527	1108
140	529	1100
141	531	1092
142	532	1084
143	534	1076
144	536	1068
145	538	1063
146	540	1055
147	542	1047
148	543	1039
149	545	1033
150	548	1027
151	550	1020
152	551	1013
153	554	1007
154	556	1002
155	559	997
156	561	990
157	565	987
158	567	981
159	569	974
160	570	967
161	572	960
162	573	954
163	577	949
164	578	943
165	580	936
166	581	929
167	583	923
168	586	919
169	588	913
170	590	907
171	591	901
172	594	896
173	596	890
174	597	884
175	598	877
176	599	871
177	601	864
178	602	858
179	603	851
180	605	846
181	607	840
182	608	834
183	609	828
184	611	822
185	612	817
186	614	811
187	616	806
188	617	800
189	618	794
190	620	788
191	621	783
192	622	777
193	624	772
194	625	766
195	627	761
196	630	758
197	632	754
198	634	749
199	636	745
200	638	740
201	639	734
202	641	729
203	642	724
204	644	720
205	646	715
206	647	710
207	649	705
208	650	700
209	652	695
210	653	690
211	655	685
212	656	681
213	657	676
214	659	671
215	660	666
216	662	662
217	663	657
218	665	652
219	666	648
220	667	643
221	669	639
222	670	634
223	671	629
224	673	625
225	675	621
226	676	617
227	678	612
228	679	608
229	680	603
230	682	599
231	683	595
232	685	591
233	686	586
234	687	582
235	689	578
236	690	574
237	691	569
238	693	565
239	694	561
240	696	557
241	697	553
242	699	549
243	700	545
244	702	541
245	703	537
246	705	534
247	706	530
248	708	526
249	709	522
250	710	518
251	711	514
252	713	510
253	714	506
254	716	502
255	717	499
256	719	495
257	720	491
258	721	487
259	723	484
260	724	480
261	726	477
262	727	473
263	729	469
264	730	465
265	731	462
266	733	458
267	735	455
268	736	452
269	738	448
270	740	445
271	742	442
272	744	438
273	745	435
274	746	431
275	748	428
276	749	424
277	751	421
278	752	418
279	754	414
280	755	411
281	756	407
282	758	404
283	759	401
284	761	397
285	762	394
286	764	391
287	765	387
288	766	384
289	767	381
290	769	378
291	770	374
292	772	371
293	774	368
294	775	365
295	777	362
296	778	359
297	779	355
298	781	352
299	782	349
300	784	346
301	785	343
302	786	340
303	788	337
304	789	333
305	790	330
306	792	327
307	794	324
308	795	321
309	796	318
310	798	315
311	799	312
312	801	309
313	802	306
314	804	303
315	805	300
316	806	297
317	808	294
318	809	291
319	811	289
320	812	286
321	813	283
322	815	280
323	816	277
324	817	274
325	819	271
326	820	268
327	822	265
328	823	262
329	824	259
330	826	257
331	827	254
332	829	251
333	830	248
334	831	245
335	833	243
336	834	240
337	835	237
338	837	234
339	838	231
340	840	229
341	841	226
342	843	223
343	844	221
344	846	218
345	847	215
346	849	212
347	850	210
348	851	207
349	853	204
350	855	202
351	857	199
352	858	197
353	861	194
354	862	191
355	864	189
356	865	186
357	866	184
358	868	181
359	869	178
360	871	176
361	872	173
362	873	170
363	875	168
364	877	165
365	878	163
366	879	160
367	881	158
368	882	155
369	884	152
370	885	150
371	886	147
372	888	145
373	890	142
374	891	140
375	893	137
376	894	135
377	897	132
378	898	130
379	900	127
380	901	125
381	902	122
382	904	120
383	905	117
384	906	115
385	908	113
386	910	110
387	911	108
388	912	105
389	914	103
390	915	100
391	916	98
392	918	95
393	920	93
394	924	91
395	927	88
396	930	86
397	942	85
398	946	83
399	949	80
400	951	78
401	954	75
402	956	73
403	957	71
404	959	68
405	960	66
406	962	63
407	963	61
408	965	58
409	966	56
410	968	54
411	969	51
412	971	49
413	972	47
414	974	44
415	976	42
416	977	39
417	979	37
418	980	35
419	982	32
420	983	30
421	984	28
422	986	25
423	993	23
424	995	21
425	997	18
426	998	16
427	1000	14
428	1001	11
429	1002	9
430	1004	6
431	1005	4
432	1007	2
433	1008	0
