Model,data_process,r2_5kf_mean,rmse_5kf_mean
catboost,ordinal_threeXOutlier,0.9211652719794378,18681.014437334776
catboost,ordinal_onlyNormalCondition,0.9387175979579467,17394.52805591369
catboost,ordinal_allOutliers,0.9207923401389392,21088.09522873796
catboost,dummified_threeXOutlier,0.9201143697272602,18766.314419163013
catboost,dummified_onlyNormalCondition,0.9365203280509589,17705.618147127374
catboost,dummified_allOutliers,0.9207871032186986,21054.910503736348
catboost,dummifiedNoDrop_threeXOutlier,0.9196771002648539,18851.435847201483
catboost,dummifiedNoDrop_onlyNormalCondition,0.935308456287269,17909.736593774513
catboost,dummifiedNoDrop_allOutliers,0.9201957258284239,21164.979170527757
catboost_tuned,ordinal_threeXOutlier,0.9275995053152151,17793.103665854098
catboost_tuned,ordinal_onlyNormalCondition,0.9451477191108575,16470.91492748625
catboost_tuned,ordinal_allOutliers,0.9299294923483552,19829.620390594315
catboost_tuned,dummified_threeXOutlier,0.9282647064373803,17773.82239046998
catboost_tuned,dummified_onlyNormalCondition,0.9440983798430063,16615.987906212722
catboost_tuned,dummified_allOutliers,0.9306468950564988,19721.529106891125
catboost_tuned,dummifiedNoDrop_threeXOutlier,0.9255175930981043,18059.37318404819
catboost_tuned,dummifiedNoDrop_onlyNormalCondition,0.9493193831212242,15834.92242590016
catboost_tuned,dummifiedNoDrop_allOutliers,0.9297968717164184,19839.780154066677
