Model,data_process,r2_5kf_mean,rmse_5kf_mean
randomForest,ordinal_threeXOutlier,0.9003148232051504,21063.431019844655
randomForest,ordinal_onlyNormalCondition,0.9147096535471524,20557.040480062722
randomForest,ordinal_allOutliers,0.9007027714182388,23595.62143219172
randomForest,dummified_threeXOutlier,0.8976864590881901,21340.686856255856
randomForest,dummified_onlyNormalCondition,0.913219635429343,20743.874589319377
randomForest,dummified_allOutliers,0.898701982786314,23829.250646037715
randomForest,dummifiedNoDrop_threeXOutlier,0.8983218585514908,21273.463159265964
randomForest,dummifiedNoDrop_onlyNormalCondition,0.9140056642402301,20643.846123818166
randomForest,dummifiedNoDrop_allOutliers,0.8987806098164366,23817.907705758334
randomForest_tuned,ordinal_threeXOutlier,0.9017415635666446,20919.55138291964
randomForest_tuned,ordinal_onlyNormalCondition,0.9156651311770565,20459.59115633657
randomForest_tuned,ordinal_allOutliers,0.9011224931056832,23539.259762397567
randomForest_tuned,dummified_threeXOutlier,0.8991853232016856,21189.949715923216
randomForest_tuned,dummified_onlyNormalCondition,0.9138754915933897,20678.952398856734
randomForest_tuned,dummified_allOutliers,0.8997850128943202,23693.736188661784
randomForest_tuned,dummifiedNoDrop_threeXOutlier,0.8998531357876098,21114.207287068704
randomForest_tuned,dummifiedNoDrop_onlyNormalCondition,0.9149741320054631,20542.862863441835
randomForest_tuned,dummifiedNoDrop_allOutliers,0.8997270890609099,23701.77282781702
