Model,data_process,r2_5kf_mean,rmse_5kf_mean
xgboost,ordinal_threeXOutlier,0.9021072451249177,20866.299828805248
xgboost,ordinal_onlyNormalCondition,0.9197890813103833,19881.826862720944
xgboost,ordinal_allOutliers,0.9044454436800127,23142.59248520478
xgboost,dummified_threeXOutlier,0.90214846121533,20859.072893670625
xgboost,dummified_onlyNormalCondition,0.9180492284873756,20111.383128403602
xgboost,dummified_allOutliers,0.8969477100884639,24052.15607740142
xgboost,dummifiedNoDrop_threeXOutlier,0.9008061891003891,20997.812740862028
xgboost,dummifiedNoDrop_onlyNormalCondition,0.9178380841437208,20159.87270390861
xgboost,dummifiedNoDrop_allOutliers,0.9040166227564533,23207.145705437008
xgboost_tuned,ordinal_threeXOutlier,0.9209081890389313,18584.941593341984
xgboost_tuned,ordinal_onlyNormalCondition,0.9455287175336885,16422.20569935593
xgboost_tuned,ordinal_allOutliers,0.9235752556640685,20693.007479352633
xgboost_tuned,dummified_threeXOutlier,0.9240739923462474,18271.90679414803
xgboost_tuned,dummified_onlyNormalCondition,0.9480629832898737,16036.5668458893
xgboost_tuned,dummified_allOutliers,0.9257167503606253,20392.851631135447
xgboost_tuned,dummifiedNoDrop_threeXOutlier,0.9235969169771592,18238.71050064873
xgboost_tuned,dummifiedNoDrop_onlyNormalCondition,0.9474392299071083,16140.24540990807
xgboost_tuned,dummifiedNoDrop_allOutliers,0.9302637389399824,19749.971997478024
