iter	RMSE
0	59682.06755
1	55462.46567
2	51459.13487
3	47865.21294
4	44586.06939
5	41819.10017
6	39295.75718
7	36910.86684
8	34806.63055
9	32987.26301
10	31379.43941
11	29981.55488
12	28675.97035
13	27632.37122
14	26705.85531
15	25750.2673
16	24823.31161
17	24088.00116
18	23355.88924
19	22770.27563
20	22224.71033
21	21724.42142
22	21224.34623
23	20828.87167
24	20410.58479
25	20061.73808
26	19758.73308
27	19443.46211
28	19131.78517
29	18839.61739
30	18581.52446
31	18377.64733
32	18163.67059
33	17964.63964
34	17730.07355
35	17563.57498
36	17386.28994
37	17233.10491
38	17081.71738
39	16954.12646
40	16851.39509
41	16718.65244
42	16594.66626
43	16476.57289
44	16335.73613
45	16197.58693
46	16078.78402
47	16016.40594
48	15948.69745
49	15880.70837
50	15787.72207
51	15663.01128
52	15553.62589
53	15463.4125
54	15407.73147
55	15343.66954
56	15259.76359
57	15204.8204
58	15115.10688
59	15059.73721
60	15008.27929
61	14915.14698
62	14867.21138
63	14803.6289
64	14728.04312
65	14642.85231
66	14571.15482
67	14518.65761
68	14489.41958
69	14417.98125
70	14338.65766
71	14252.4075
72	14155.9674
73	14107.63606
74	14069.23662
75	14002.73161
76	13961.36231
77	13910.01622
78	13861.56677
79	13806.0711
80	13753.41957
81	13697.43806
82	13633.8356
83	13589.06995
84	13558.10504
85	13519.88337
86	13483.82048
87	13403.9252
88	13354.30638
89	13312.70111
90	13262.87926
91	13234.79831
92	13201.06056
93	13173.71108
94	13122.67722
95	13075.3454
96	13053.25066
97	13003.79814
98	12980.94858
99	12937.41555
100	12902.78994
101	12876.60252
102	12839.97142
103	12783.62037
104	12741.01988
105	12711.66662
106	12666.5807
107	12598.01106
108	12555.91142
109	12517.8215
110	12462.76893
111	12418.11834
112	12357.3953
113	12316.93633
114	12283.47537
115	12249.39107
116	12202.98982
117	12140.17226
118	12097.62182
119	12047.47487
120	12010.65712
121	11962.37978
122	11930.95462
123	11892.18231
124	11856.21999
125	11831.2489
126	11815.87908
127	11772.19759
128	11744.20599
129	11711.89054
130	11685.46311
131	11661.69268
132	11632.76996
133	11616.1303
134	11587.13097
135	11569.39233
136	11536.1391
137	11497.72415
138	11469.08348
139	11442.1487
140	11412.30886
141	11400.32252
142	11379.04223
143	11328.89448
144	11299.09318
145	11245.41948
146	11220.55656
147	11191.11434
148	11156.61744
149	11133.06709
150	11095.267
151	11072.7762
152	11046.75725
153	11031.3844
154	11005.12959
155	10980.22531
156	10956.98523
157	10935.29569
158	10896.33204
159	10866.54966
160	10831.22628
161	10806.33563
162	10788.96613
163	10763.81607
164	10751.24728
165	10716.84782
166	10690.60931
167	10659.00973
168	10636.52633
169	10630.71176
170	10607.55349
171	10589.96696
172	10560.76275
173	10531.5662
174	10489.66745
175	10472.53079
176	10425.8347
177	10383.61297
178	10365.45666
179	10343.6025
180	10324.18253
181	10307.91311
182	10273.38882
183	10250.1208
184	10220.69626
185	10201.4505
186	10176.44197
187	10150.36643
188	10133.12334
189	10102.45275
190	10086.56925
191	10051.58115
192	10024.77326
193	9994.312579
194	9981.182161
195	9972.440634
196	9946.314238
197	9922.178772
198	9895.804522
199	9869.480164
200	9847.297687
201	9820.409745
202	9789.130835
203	9768.212542
204	9742.889068
205	9729.293029
206	9710.253833
207	9683.755345
208	9666.352414
209	9640.297347
210	9614.087967
211	9587.999933
212	9574.816437
213	9547.518745
214	9544.454736
215	9534.026326
216	9512.01808
217	9498.538155
218	9493.411905
219	9457.715149
220	9436.810776
221	9416.538585
222	9384.950087
223	9357.332614
224	9355.846114
225	9331.486481
226	9306.684694
227	9289.082903
228	9272.084456
229	9262.865263
230	9261.059189
231	9246.856894
232	9223.649782
233	9211.367119
234	9195.135727
235	9166.500804
236	9148.021475
237	9135.907839
238	9123.872375
239	9107.710163
240	9091.933503
241	9063.586504
242	9061.864718
243	9047.390933
244	9013.771327
245	8994.58278
246	8979.980304
247	8956.125059
248	8939.726588
249	8926.231509
250	8911.017529
251	8873.703841
252	8854.657534
253	8831.532016
254	8811.321801
255	8797.594948
256	8783.464231
257	8771.486665
258	8752.331562
259	8738.898133
260	8712.384634
261	8685.505701
262	8674.434147
263	8652.685539
264	8638.558717
265	8637.733453
266	8627.99653
267	8612.086834
268	8599.47564
269	8581.827654
270	8570.92796
271	8551.889011
272	8541.544402
273	8520.452399
274	8504.044053
275	8486.252308
276	8467.350739
277	8447.166891
278	8421.506215
279	8399.691974
280	8383.319042
281	8365.806539
282	8355.859393
283	8332.514209
284	8309.068829
285	8297.630679
286	8285.375129
287	8260.039068
288	8231.317408
289	8213.386783
290	8195.298524
291	8179.264762
292	8178.119649
293	8162.87825
294	8162.109275
295	8147.080777
296	8128.948759
297	8110.67493
298	8090.07804
299	8069.296011
300	8061.685039
301	8047.725338
302	8034.246042
303	8033.420391
304	8019.732885
305	7994.676587
306	7981.750634
307	7967.429253
308	7948.784472
309	7927.834116
310	7900.232626
311	7884.040239
312	7868.863801
313	7850.49971
314	7842.547489
315	7830.151866
316	7814.727444
317	7806.484738
318	7794.761109
319	7782.056801
320	7764.217473
321	7742.989247
322	7733.918131
323	7718.632048
324	7708.316855
325	7698.463401
326	7676.36983
327	7653.277431
328	7637.704334
329	7622.985601
330	7615.651579
331	7597.392888
332	7574.030429
333	7549.22762
334	7535.06097
335	7517.507008
336	7504.845737
337	7504.175404
338	7485.572696
339	7473.87397
340	7458.143875
341	7442.289701
342	7432.134889
343	7418.483506
344	7401.808696
345	7396.050935
346	7385.687489
347	7373.750217
348	7366.341578
349	7351.900362
350	7330.970648
351	7322.836247
352	7310.00302
353	7294.472253
354	7283.846196
355	7266.36519
356	7252.778995
357	7248.429153
358	7232.877917
359	7217.569978
360	7202.226035
361	7190.051926
362	7183.051431
363	7165.449156
364	7162.604877
365	7148.955644
366	7143.895224
367	7143.148806
368	7142.642968
369	7127.712764
370	7114.619443
371	7114.011258
372	7100.795748
373	7087.798958
374	7064.086492
375	7051.669878
376	7041.090605
377	7029.386859
378	7013.05389
379	6996.138284
380	6988.330415
381	6969.086242
382	6953.499357
383	6952.88497
384	6944.341299
385	6935.625658
386	6931.42963
387	6919.444215
388	6915.719177
389	6905.166761
390	6883.106083
391	6876.935719
392	6862.337567
393	6852.375359
394	6833.612827
395	6824.62621
396	6814.185105
397	6799.678952
398	6788.357921
399	6776.65088
400	6762.9008
401	6758.211159
402	6747.22427
403	6730.619453
404	6724.979945
405	6716.730122
406	6710.50461
407	6686.011568
408	6685.25475
409	6673.505933
410	6661.82109
411	6656.649982
412	6648.66893
413	6638.039124
414	6625.523393
415	6616.253219
416	6602.252016
417	6590.591533
418	6573.323722
419	6553.917314
420	6543.396666
421	6539.665197
422	6518.754427
423	6506.957551
424	6500.985905
425	6497.300079
426	6484.104445
427	6472.522389
428	6460.051011
429	6452.030683
430	6440.271541
431	6433.917461
432	6424.497647
433	6420.520251
