iter	Passed	Remaining
0	1	554
1	2	505
2	3	481
3	4	465
4	5	461
5	6	453
6	7	445
7	8	446
8	9	446
9	10	449
10	11	447
11	12	449
12	13	451
13	15	451
14	16	450
15	17	449
16	18	448
17	19	445
18	20	443
19	21	446
20	22	447
21	23	445
22	24	444
23	26	445
24	27	446
25	28	445
26	29	445
27	30	444
28	31	443
29	32	442
30	33	441
31	34	438
32	35	436
33	37	442
34	38	440
35	39	438
36	40	436
37	41	435
38	42	434
39	43	431
40	44	429
41	45	426
42	46	426
43	47	425
44	48	423
45	50	422
46	51	421
47	52	419
48	53	418
49	54	416
50	55	414
51	56	411
52	57	410
53	58	408
54	59	407
55	60	405
56	61	404
57	62	403
58	63	401
59	64	400
60	65	399
61	66	399
62	68	402
63	69	401
64	70	399
65	73	409
66	83	456
67	84	454
68	85	454
69	87	455
70	98	504
71	105	528
72	116	577
73	118	576
74	119	574
75	121	571
76	123	571
77	127	580
78	128	578
79	129	574
80	130	569
81	131	566
82	133	562
83	134	558
84	135	554
85	135	550
86	136	546
87	138	542
88	139	539
89	140	535
90	141	531
91	142	528
92	143	524
93	144	521
94	145	517
95	146	514
96	147	511
97	148	507
98	148	504
99	149	500
100	150	497
101	152	494
102	153	493
103	155	492
104	156	489
105	157	486
106	158	484
107	159	481
108	160	478
109	161	475
110	162	473
111	163	470
112	164	468
113	165	465
114	167	463
115	168	461
116	169	458
117	170	456
118	171	453
119	172	452
120	173	449
121	174	447
122	176	446
123	177	444
124	178	442
125	180	440
126	181	437
127	182	435
128	183	433
129	184	431
130	185	428
131	186	426
132	187	424
133	188	422
134	189	420
135	190	417
136	191	415
137	192	413
138	194	411
139	195	411
140	196	409
141	197	406
142	199	405
143	200	403
144	201	401
145	202	399
146	203	397
147	204	395
148	205	393
149	206	391
150	208	389
151	209	387
152	210	386
153	211	385
154	212	383
155	214	381
156	215	379
157	216	377
158	217	375
159	218	373
160	219	371
161	220	370
162	221	368
163	222	366
164	223	364
165	224	363
166	225	361
167	227	359
168	228	357
169	229	355
170	230	354
171	231	352
172	233	352
173	234	350
174	235	348
175	236	346
176	237	344
177	238	343
178	239	341
179	240	339
180	241	337
181	242	335
182	243	334
183	244	332
184	245	330
185	246	328
186	247	326
187	248	325
188	249	323
189	250	322
190	251	320
191	253	319
192	254	317
193	255	316
194	256	314
195	257	312
196	258	311
197	259	309
198	260	307
199	261	306
200	262	304
201	263	302
202	264	300
203	265	299
204	266	298
205	267	296
206	268	294
207	269	293
208	270	291
209	271	290
210	273	288
211	274	287
212	275	285
213	276	283
214	277	282
215	278	281
216	279	279
217	280	277
218	281	276
219	282	275
220	283	273
221	284	272
222	285	270
223	286	268
224	287	267
225	288	265
226	289	264
227	291	262
228	292	261
229	293	259
230	294	258
231	295	257
232	296	255
233	297	254
234	299	253
235	300	251
236	301	250
237	302	248
238	303	247
239	304	245
240	305	244
241	306	243
242	307	241
243	308	240
244	309	238
245	310	237
246	311	235
247	312	234
248	313	232
249	314	231
250	315	229
251	316	228
252	317	226
253	318	225
254	319	224
255	320	222
256	321	221
257	322	219
258	324	218
259	325	217
260	326	216
261	327	215
262	328	213
263	330	212
264	331	211
265	332	209
266	333	208
267	334	207
268	335	205
269	336	204
270	337	202
271	338	201
272	339	200
273	340	198
274	341	197
275	342	196
276	343	194
277	344	193
278	345	192
279	346	190
280	348	189
281	349	188
282	349	186
283	351	185
284	352	184
285	353	182
286	354	181
287	355	180
288	357	179
289	358	177
290	359	176
291	360	175
292	361	173
293	362	172
294	363	171
295	364	170
296	366	168
297	367	167
298	368	166
299	369	165
300	370	163
301	371	162
302	372	161
303	373	159
304	375	158
305	376	157
306	377	156
307	378	154
308	379	153
309	381	152
310	382	151
311	383	149
312	384	148
313	385	147
314	386	146
315	388	144
316	389	143
317	390	142
318	391	141
319	393	140
320	394	139
321	396	137
322	397	136
323	398	135
324	399	134
325	400	132
326	402	131
327	403	130
328	404	129
329	405	127
330	406	126
331	407	125
332	409	124
333	410	122
334	411	121
335	412	120
336	413	119
337	414	117
338	416	116
339	417	115
340	418	114
341	419	112
342	420	111
343	421	110
344	423	109
345	424	107
346	425	106
347	426	105
348	427	104
349	428	102
350	430	101
351	431	100
352	432	99
353	434	98
354	435	96
355	437	95
356	438	94
357	440	93
358	441	92
359	442	90
360	443	89
361	445	88
362	446	87
363	448	86
364	449	84
365	450	83
366	452	82
367	453	81
368	454	80
369	456	78
370	457	77
371	458	76
372	460	75
373	461	74
374	462	72
375	463	71
376	464	70
377	465	68
378	466	67
379	467	66
380	468	65
381	469	63
382	470	62
383	471	61
384	472	60
385	473	58
386	474	57
387	475	56
388	476	55
389	477	53
390	478	52
391	479	51
392	480	50
393	481	48
394	482	47
395	483	46
396	484	45
397	485	43
398	486	42
399	487	41
400	488	40
401	489	39
402	491	37
403	492	36
404	493	35
405	494	34
406	495	32
407	496	31
408	497	30
409	498	29
410	499	27
411	500	26
412	501	25
413	502	24
414	504	23
415	505	21
416	506	20
417	507	19
418	508	18
419	509	16
420	510	15
421	511	14
422	512	13
423	513	12
424	514	10
425	515	9
426	516	8
427	518	7
428	519	6
429	520	4
430	521	3
431	521	2
432	522	1
433	524	0
